projectid,simulationid,vColumn,vRow,vLocationID,vlat,vlon,vNUTSID,vSTATE_ID,vSTATE_NAME
60616,1,416,235,60616,52.9084123,11.92611355,DE40F,DE4,Brandenburg
60617,1,416,236,60617,52.89943805,11.92550833,DE40F,DE4,Brandenburg
60618,1,417,236,60618,52.89907124,11.94034914,DE40F,DE4,Brandenburg
60619,1,417,235,60619,52.90804538,11.94095741,DE40F,DE4,Brandenburg
60620,1,417,234,60620,52.91701949,11.94156601,DE40F,DE4,Brandenburg
60621,1,417,233,60621,52.92599359,11.94217494,DE40F,DE4,Brandenburg
60622,1,394,206,60622,53.17633265,11.61519343,DE40F,DE4,Brandenburg
60623,1,440,192,60623,53.28483961,12.31179666,DE40F,DE4,Brandenburg
60624,1,394,205,60624,53.18530884,11.61573998,DE40F,DE4,Brandenburg
60625,1,440,193,60625,53.27586922,12.31110235,DE40F,DE4,Brandenburg
60626,1,379,217,60626,53.08229015,11.38557685,DE40F,DE4,Brandenburg
60627,1,426,231,60627,52.9405517,12.07708403,DE40F,DE4,Brandenburg
60628,1,426,230,60628,52.94952464,12.07772151,DE40F,DE4,Brandenburg
60629,1,426,229,60629,52.95849756,12.07835934,DE40F,DE4,Brandenburg
60630,1,426,228,60630,52.96747047,12.07899751,DE40F,DE4,Brandenburg
60631,1,426,227,60631,52.97644335,12.07963602,DE40F,DE4,Brandenburg
60632,1,426,226,60632,52.98541622,12.08027486,DE40F,DE4,Brandenburg
60633,1,419,236,60633,52.89833209,11.97002978,DE40F,DE4,Brandenburg
60634,1,419,237,60634,52.88935817,11.96941571,DE40F,DE4,Brandenburg
60635,1,414,235,60635,52.90914058,11.89642485,DE40F,DE4,Brandenburg
60636,1,414,233,60636,52.9270895,11.897624,DE40F,DE4,Brandenburg
60637,1,414,231,60637,52.94503834,11.89882443,DE40F,DE4,Brandenburg
60638,1,440,200,60638,53.21307595,12.30625258,DE40F,DE4,Brandenburg
60639,1,440,199,60639,53.22204647,12.3069443,DE40F,DE4,Brandenburg
60640,1,440,198,60640,53.23101698,12.30763638,DE40F,DE4,Brandenburg
60641,1,440,197,60641,53.23998747,12.30832883,DE40F,DE4,Brandenburg
60642,1,440,196,60642,53.24895794,12.30902166,DE40F,DE4,Brandenburg
60643,1,414,230,60643,52.95401274,11.89942513,DE40F,DE4,Brandenburg
60644,1,414,220,60644,53.04375568,11.90544971,DE40F,DE4,Brandenburg
60645,1,414,219,60645,53.05272988,11.90605394,DE40F,DE4,Brandenburg
60646,1,414,218,60646,53.06170405,11.90665848,DE40F,DE4,Brandenburg
60647,1,414,217,60647,53.07067821,11.90726335,DE40F,DE4,Brandenburg
60648,1,414,216,60648,53.07965235,11.90786855,DE40F,DE4,Brandenburg
60649,1,440,195,60649,53.25792838,12.30971485,DE40F,DE4,Brandenburg
60650,1,440,194,60650,53.26689881,12.31040842,DE40F,DE4,Brandenburg
60651,1,379,218,60651,53.07331223,11.38508022,DE40F,DE4,Brandenburg
60652,1,414,215,60652,53.08862647,11.90847406,DE40F,DE4,Brandenburg
60653,1,426,232,60653,52.93157873,12.07644688,DE40F,DE4,Brandenburg
